监测点编码,监测点名称,城市,经度,纬度,省份
1593A,康泽苑,鄂尔多斯,109.7736,39.5986,内蒙古
1594A,华泰汽车城,鄂尔多斯,109.8119,39.5989,内蒙古
1595A,奥林花园,鄂尔多斯,109.9734,39.7884,内蒙古
1596A,学府南路,营口,122.2414,40.6592,辽宁
1597A,大庆路,营口,122.2703,40.7094,辽宁
1598A,镜湖西路,营口,122.2150,40.6511,辽宁
1599A,西炮台,营口,122.1658,40.6789,辽宁
1600A,江湾东路,丹东,124.3303,40.0625,辽宁
1601A,临江后街,丹东,124.4256,40.1503,辽宁
1602A,元宝山,丹东,124.3933,40.1461,辽宁
1603A,民主桥,丹东,124.3678,40.1194,辽宁
1604A,开发区,盘锦,122.0247,41.1556,辽宁
1605A,兴隆台,盘锦,122.0539,41.0903,辽宁
1606A,新生街道,盘锦,121.8350,41.1042,辽宁
1607A,龙港区,葫芦岛,120.9092,40.7136,辽宁
1608A,化工街,葫芦岛,120.8392,40.7514,辽宁
1609A,新区,葫芦岛,120.8478,40.7150,辽宁
1610A,东城区,葫芦岛,120.8631,40.7736,辽宁
1611A,涂山街,泉州,118.5819,24.9117,福建
1612A,津头埔,泉州,118.5972,24.8978,福建
1613A,万安,泉州,118.6663,24.9424,福建
1614A,清源山,泉州,118.6108,24.9617,福建
1615A,植物油厂,济南,117.6850,36.2050,山东
1616A,技术学院,济南,117.6789,36.2289,山东
1617A,日升国际,济南,117.7150,36.2081,山东
1618A,沂河小区,临沂,118.3418,35.0573,山东
1619A,鲁南制药厂,临沂,118.2950,35.0583,山东
1620A,新光毛纺厂,临沂,118.2764,34.9817,山东
1621A,河东保险公司,临沂,118.4023,35.0896,山东
1622A,儿童乐园,德州,116.3061,37.4664,山东
1623A,黑马集团,德州,116.2729,37.4504,山东
1624A,监理站,德州,116.3189,37.4489,山东
1625A,区政府,聊城,115.9848,36.4372,山东
1626A,二轻机（已停运）,聊城,115.9968,36.4568,山东
1627A,党校(20190222停运),聊城,115.9835,36.4796,山东
1628A,市环保局,滨州,118.0062,37.3803,山东
1629A,第二水厂,滨州,118.0018,37.3617,山东
1630A,北中新校,滨州,117.9776,37.3930,山东
1631A,人民公园,淄博,118.0482,36.8088,山东
1632A,东风化工厂,淄博,118.0448,36.8380,山东
1633A,双山,淄博,117.8477,36.4970,山东
1634A,气象站,淄博,117.9544,36.6377,山东
1635A,莆田园,淄博,118.3092,36.8198,山东
1636A,三金集团,淄博,117.8512,36.8041,山东
1637A,市中区政府,枣庄,117.5564,34.8640,山东
1638A,薛城环保局,枣庄,117.2852,34.7837,山东
1639A,峄城区政府,枣庄,117.5852,34.7745,山东
1640A,台儿庄区环保局,枣庄,117.7320,34.5667,山东
1641A,山亭区环保局,枣庄,117.4518,35.0992,山东
1642A,开发区,烟台,121.2514,37.5639,山东
1643A,轴承厂,烟台,121.3719,37.5433,山东
1644A,西郊化工站,烟台,121.3181,37.5436,山东
1645A,莱山环保局,烟台,121.4478,37.4822,山东
1646A,福山环保局,烟台,121.2611,37.4967,山东
1647A,牟平环保局(停运170519),烟台,121.5953,37.3872,山东
1648A,仲裁委,潍坊,119.1200,36.7019,山东
1649A,刘家园,潍坊,119.0919,36.7306,山东
1650A,环保局,潍坊,119.1425,36.7008,山东
1651A,共达公司,潍坊,119.1614,36.6572,山东
1652A,寒亭监测站,潍坊,119.1939,36.7731,山东
1653A,火炬城,济宁,116.6305,35.4280,山东
1654A,监测站,济宁,116.5856,35.4144,山东
1655A,电化厂,济宁,116.5546,35.4039,山东
1656A,监测站,泰安,117.1436,36.1942,山东
1657A,人口学校,泰安,117.0881,36.1942,山东
1658A,电力学校,泰安,117.1081,36.1758,山东
1659A,监测站,日照,119.4641,35.4178,山东
1660A,市政府广场,日照,119.5198,35.4234,山东
1661A,港务局,日照,119.5400,35.3962,山东
1662A,华夏技校,威海,122.1206,37.4294,山东
1663A,山大分校,威海,122.0508,37.5325,山东
1664A,市监测站,威海,122.1067,37.5072,山东
1665A,西城阳光环保公司,东营,118.5019,37.4658,山东
1666A,市环保局,东营,118.6672,37.4314,山东
1667A,耿井村,东营,118.5857,37.4442,山东
1668A,广南水库,东营,118.8192,37.3781,山东
1669A,市八中,韶关,113.586606,24.769519,广东
1670A,碧湖山庄,韶关,113.5593889,24.81119444,广东
1671A,园林处,韶关,113.598061,24.795928,广东
1672A,韶关学院,韶关,113.6734722,24.77908333,广东
1673A,曲江监测站,韶关,113.5970833,24.68636111,广东
1674A,金平子站,汕头,116.6794,23.3667,广东
1675A,龙湖子站,汕头,116.7244,23.3633,广东
1676A,濠江子站,汕头,116.7258,23.2775,广东
1677A,澄海子站,汕头,116.7519,23.4714,广东
1678A,潮阳子站,汕头,116.6092,23.2539,广东
1679A,潮南子站,汕头,116.4019,23.2536,广东
1680A,湛江影剧院,湛江,110.3539,21.2706,广东
1681A,市环境监测站,湛江,110.3928,21.2228,广东
1682A,环保局宿舍,湛江,110.4019,21.1997,广东
1683A,霞山游泳场,湛江,110.4111,21.2028,广东
1684A,麻章区环保局,湛江,110.3316,21.2679,广东
1685A,坡头区环保局,湛江,110.4558,21.2567,广东
1686A,市环保局茂港分局,茂名,111.0286,21.4689,广东
1687A,茂石化七小,茂名,110.9294,21.6533,广东
1688A,健康路,茂名,110.9067,21.6669,广东
1689A,高岭,茂名,110.8592,21.6828,广东
1690A,嘉应大学,梅州,116.1278,24.3289,广东
1691A,梅县新城,梅州,116.0797,24.2719,广东
1692A,环境监控中心,梅州,116.1248,24.2654,广东
1693A,市环保局,汕尾,115.3653,22.775,广东
1694A,市政府,汕尾,115.3706,22.7898,广东
1695A,新城中学,汕尾,115.3622,22.7925,广东
1696A,源西,河源,114.6778,23.7569,广东
1697A,东埔,河源,114.6944,23.7586,广东
1698A,老城,河源,114.6892,23.7233,广东
1699A,鸳鸯湖,阳江,111.9786,21.8586,广东
1700A,南恩路,阳江,111.9508,21.8536,广东
1701A,马南垌,阳江,111.9494,21.8650,广东
1702A,环保大楼,清远,113.0425,23.6936,广东
1703A,凤城街办,清远,113.0208,23.7106,广东
1704A,高新区,清远,113.0622,23.6272,广东
1705A,西园路,潮州,116.6339,23.6714,广东
1706A,档案局,潮州,116.6447,23.6706,广东
1707A,市政公司,潮州,116.6175,23.6531,广东
1708A,新兴,揭阳,116.3697,23.5353,广东
1709A,西马,揭阳,116.3242,23.5486,广东
1710A,东兴,揭阳,116.3594,23.5739,广东
1711A,渔湖,揭阳,116.4094,23.5292,广东
1712A,新市府,云浮,112.0392,22.9169,广东
1713A,市监测站,云浮,112.0369,22.9394,广东
1714A,牧羊,云浮,112.0539,22.9539,广东
1715A,东风水库,玉溪,102.5778,24.3694,云南
1716A,市监测站,玉溪,102.5433,24.3603,云南
1717A,大营街镇,玉溪,102.4964,24.3411,云南
1718A,市气象局,菏泽,115.42277,35.248889,山东
1719A,市政协,菏泽,115.474722,35.2375,山东
1720A,菏泽学院,菏泽,115.455,35.27,山东
1721A,果树场(对照点),大同,113.3819,40.1097,山西
1722A,红旗广场(停运160601),大同,113.2858,40.0958,山西
1723A,云冈宾馆,大同,113.2994,40.0758,山西
1724A,大同大学,大同,113.3444,40.0917,山西
1725A,安家小村,大同,113.2661,40.1269,山西
1726A,教育学院,大同,113.2711,40.0844,山西
1727A,清华站,长治,113.1097,36.1542,山西
1728A,监测站,长治,113.0972,36.1939,山西
1729A,澳瑞特,长治,113.1466,36.1961,山西
1730A,审计局,长治,113.0886,36.2126,山西
1731A,长治八中,长治,113.0844444,36.1855,山西
1732A,市监测站(停运161122),临汾,111.5125,36.0978,山西
1733A,临钢医院,临汾,111.5531,36.0783,山西
1734A,技工学校,临汾,111.5028,36.0714,山西
1735A,工商学校,临汾,111.5169,36.0822,山西
1736A,市委,临汾,111.5025,36.0875,山西
1737A,尧庙镇,临汾,111.4917,36.0417,山西
1738A,市中心,阳泉,113.5753,37.8564,山西
1739A,赛鱼,阳泉,113.4922,37.8792,山西
1740A,南庄,阳泉,113.5922,37.8561,山西
1741A,白羊墅,阳泉,113.6292,37.8531,山西
1742A,平坦,阳泉,113.5689,37.8694,山西
1743A,大阳泉,阳泉,113.5158,37.8500,山西
1744A,松山一中,赤峰,118.9233,42.2814,内蒙古
1745A,哈达街,赤峰,118.9572,42.2725,内蒙古
1746A,天义路,赤峰,118.8789,42.2556,内蒙古
1747A,松山路,赤峰,119.2719,42.0317,内蒙古
1748A,深沟寺,鞍山,123.0440,41.1196,辽宁
1749A,太阳城,鞍山,123.0110,41.0931,辽宁
1750A,太平,鞍山,123.0485,41.1442,辽宁
1751A,铁西三道街,鞍山,122.9642,41.0971,辽宁
1752A,铁西工业园区,鞍山,122.9481,41.0833,辽宁
1753A,明达新区,鞍山,123.0156,41.0831,辽宁
1754A,千山,鞍山,123.1289,41.0228,辽宁
1755A,望花区,抚顺,123.8100,41.8469,辽宁
1756A,顺城区,抚顺,123.9169,41.8828,辽宁
1757A,东洲区,抚顺,124.0383,41.8625,辽宁
1758A,新抚区,抚顺,123.9000,41.8594,辽宁
1759A,大伙房水库,抚顺,124.0878,41.8864,辽宁
1760A,沈抚新城,抚顺,123.7117,41.8417,辽宁
1761A,大峪,本溪,123.8436,41.3283,辽宁
1762A,溪湖,本溪,123.7528,41.3369,辽宁
1763A,彩屯,本溪,123.7308,41.3047,辽宁
1764A,东明,本溪,123.7669,41.2864,辽宁
1765A,新立屯,本溪,123.7989,41.2692,辽宁
1766A,威宁,本溪,123.8142,41.3472,辽宁
1767A,南山,锦州,121.0986,41.0781,辽宁
1768A,开发区,锦州,121.0450,40.8333,辽宁
1769A,百股街道,锦州,121.2008,41.1219,辽宁
1770A,天安街道,锦州,121.1178,41.1222,辽宁
1771A,北湖公园,锦州,121.1303,41.1386,辽宁
1772A,哈达湾,吉林,126.5550,43.8875,吉林
1773A,东局子,吉林,126.5844,43.8358,吉林
1774A,电力学院,吉林,126.4978,43.8228,吉林
1775A,江北,吉林,126.5786,43.8947,吉林
1776A,江南公园,吉林,126.5500,43.8256,吉林
1777A,农科院,吉林,,,吉林
1778A,丰满,吉林,126.6772,43.7256,吉林
1779A,安居小区,齐齐哈尔,123.9305,47.3636,黑龙江
1780A,中心广场,齐齐哈尔,123.9305,47.3386,黑龙江
1781A,农牧车辆厂,齐齐哈尔,123.9483,47.3227,黑龙江
1782A,富区环保局(停运191231),齐齐哈尔,123.6261,47.2030,黑龙江
1783A,市环境监测站,齐齐哈尔,123.9450,47.2988,黑龙江
1784A,环保大楼　,牡丹江,129.6100,44.5610,黑龙江
1785A,文化广场　,牡丹江,129.6115,44.5782,黑龙江
1786A,第一医院,牡丹江,129.5902,44.5952,黑龙江
1787A,机车工厂,牡丹江,129.6459,44.6104,黑龙江
1788A,第一中学,牡丹江,129.6386,44.5462,黑龙江
1789A,大同区,大庆,124.8354,46.0347,黑龙江
1790A,龙凤区,大庆,125.1120,46.5280,黑龙江
1791A,红岗区,大庆,124.8847,46.3991,黑龙江
1792A,萨尔图区,大庆,125.1386,46.5776,黑龙江
1793A,让胡路区,大庆,124.8648,46.6219,黑龙江
1794A,监测站,芜湖,118.3528,31.3508,安徽
1795A,科创中心,芜湖,118.3700,31.4189,安徽
1796A,四水厂,芜湖,118.3667,31.3139,安徽
1797A,济民医院(对照点),芜湖,118.4022,31.3839,安徽
1798A,湖东路四小,马鞍山,118.5058,31.6861,安徽
1799A,天平服装,马鞍山,118.4828,31.6411,安徽
1800A,慈湖二小,马鞍山,118.5106,31.7506,安徽
1801A,马钢动力厂,马鞍山,118.4800,31.6928,安徽
1802A,市教育基地,马鞍山,118.6439,31.7133,安徽
1803A,十里,九江,115.9872,29.6816,江西
1804A,茅山头,九江,115.9581,29.7048,江西
1805A,西园,九江,115.9880,29.7292,江西
1806A,五七二七厂,九江,116.0174,29.6535,江西
1807A,水科所（20181128停用）,九江,116.0628,29.6926,江西
1808A,综合工业园,九江,115.9114,29.6039,江西
1809A,石化总厂,九江,116.0726,29.7534,江西
1810A,庐山气象台(对照点),九江,115.9936,29.5867,江西
1811A,中信二小,洛阳,112.3628,34.6692,河南
1812A,市委党校,洛阳,112.3939,34.6511,河南
1813A,市监测站,洛阳,112.4333,34.6700,河南
1814A,豫西宾馆,洛阳,112.4664,34.6869,河南
1815A,河南林校,洛阳,112.4831,34.6869,河南
1816A,开发区管委会,洛阳,112.3844,34.6231,河南
1817A,市委新办公区,洛阳,112.4275,34.6258,河南
1818A,棉研所,安阳,114.483,36.061,河南
1819A,红庙街,安阳,114.3200,36.086,河南
1820A,银杏小区,安阳,114.358,36.087,河南
1821A,环保局,安阳,114.3931,36.0883,河南
1822A,铁佛寺,安阳,114.2860,36.1100,河南
1823A,河大一附院(停运180109),开封,114.3406,34.8022,河南
1824A,肿瘤医院,开封,114.3389,34.7781,河南
1825A,妇幼保健院(20190322停运),开封,114.3733,34.7975,河南
1826A,世纪星幼儿园,开封,114.2886,34.7967,河南
1827A,市监测站,焦作,113.261,35.235,河南
1828A,市环保局,焦作,113.227,35.213,河南
1829A,高新区政府,焦作,113.2464,35.1764,河南
1830A,影视城(对照点),焦作,113.1992,35.2590,河南
1831A,高压开关厂(20190304停运),平顶山,113.3064,33.7214,河南
1832A,新华旅馆,平顶山,113.322,33.721,河南
1833A,规划设计院,平顶山,113.292,33.739,河南
1834A,平顶山工学院,平顶山,113.182,33.737,河南
1835A,市政府,三门峡,111.1928,34.7772,河南
1836A,开发区,三门峡,111.1580,34.7940,河南
1837A,二  印,三门峡,111.1858,34.7917,河南
1838A,风景区,三门峡,111.1489,34.7997,河南
1839A,四零三,宜昌,111.3009,30.7157,湖北
1840A,白龙岗,宜昌,111.2992,30.6980,湖北
1841A,伍家岗,宜昌,111.3549,30.6463,湖北
1842A,点军区,宜昌,111.2680,30.6960,湖北
1843A,夷陵区,宜昌,111.3296,30.7819,湖北
1844A,市图书馆,荆州,112.2551,30.3175,湖北
1845A,市委党校,荆州,112.2068,30.3515,湖北
1846A,科融环保（181220停用）,荆州,112.2887,30.3055,湖北
1847A,南湖风景区,岳阳,113.1094,29.3578,湖南
1848A,城陵矶,岳阳,113.1493,29.4251,湖南
1849A,开发区,岳阳,113.1772,29.3678,湖南
1850A,云溪区,岳阳,113.2621,29.4758,湖南
1851A,君山区,岳阳,112.9943,29.4402,湖南
1852A,金凤水库,岳阳,113.2117,29.3550,湖南
1853A,市监测站,常德,111.7044,29.0244,湖南
1854A,市二中,常德,111.6975,28.9703,湖南
1855A,鼎城区环保局,常德,111.6753,29.0239,湖南
1856A,市技术监督局,常德,111.6794,29.0381,湖南
1857A,白鹤山,常德,111.7158,29.1456,湖南
1858A,永定新区,张家界,110.4800,29.1389,湖南
1859A,电业局,张家界,110.4697,29.1242,湖南
1860A,未央路,张家界,110.5594,29.3547,湖南
1861A,袁家界,张家界,110.4417,29.3150,湖南
1862A,电子科大尧山校区,桂林,110.4144,25.3167,广西
1863A,监测站,桂林,110.2819,25.2697,广西
1864A,龙隐路小学,桂林,110.3089,25.2708,广西
1865A,八中,桂林,110.2869,25.2178,广西
1866A,牛尾岭水库,北海,109.2256,21.5958,广西
1867A,海滩公园,北海,109.1436,21.4086,广西
1868A,新市环保局,北海,109.0981,21.4661,广西
1869A,北海工业园,北海,109.1778,21.5233,广西
1870A,柳东小学,柳州,109.4883,24.3898,广西
1871A,环保监测站,柳州,109.4108,24.3304,广西
1872A,河西水厂,柳州,109.3886,24.3406,广西
1873A,市四中,柳州,109.4221,24.2990,广西
1874A,市九中,柳州,109.3957,24.3663,广西
1875A,古亭山,柳州,109.4839,24.3158,广西
1876A,河东子站,三亚,109.5078,18.2489,海南
1877A,河西子站,三亚,109.4964,18.2681,海南
1878A,富乐山,绵阳,104.7778,31.4747,四川
1879A,市人大,绵阳,104.7536,31.4539,四川
1880A,高新区自来水公司,绵阳,104.6717,31.4656,四川
1881A,三水厂,绵阳,104.7283,31.5072,四川
1882A,石马中学,宜宾,104.5969,28.8194,四川
1883A,市委,宜宾,104.6225,28.76611,四川
1884A,宜宾四中,宜宾,104.6061,28.7867,四川
1885A,市政府,宜宾,104.6417,28.76389,四川
1886A,黄金嘴,宜宾,104.5761,28.71583,四川
1887A,沙坪中学,宜宾,104.6789,28.7989,四川
1888A,弄弄坪,攀枝花,101.68912,26.57098,四川
1889A,河门口,攀枝花,101.5769,26.5928,四川
1890A,炳草岗,攀枝花,101.7169,26.5850,四川
1891A,仁和,攀枝花,101.7453,26.5017,四川
1893A,九狮山,泸州,105.4306,28.9583,四川
1894A,小市上码头,泸州,105.4436,28.9026,四川
1895A,兰田宪桥,泸州,105.4322,28.8558,四川
1896A,市环监站,泸州,105.4322,28.8833,四川
1897A,大塘山,自贡,104.7547,29.3628,四川
1898A,盐马路,自贡,104.7214,29.3586,四川
1899A,檀木林街,自贡,104.7747,29.3564,四川
1900A,春华路,自贡,104.7692,29.3411,四川
1901A,东山公园,德阳,104.4219,31.1208,四川
1902A,西小区,德阳,104.3883,31.1333,四川
1903A,市检察院,德阳,104.4053,31.1167,四川
1904A,耐火材料厂,德阳,104.3539,31.1108,四川
1905A,西山风景区,南充,106.0560,30.8064,四川
1906A,南充市委,南充,106.0789,30.8023,四川
1907A,南充炼油厂,南充,106.1031,30.8217,四川
1908A,高坪区监测站,南充,106.1064,30.7856,四川
1909A,嘉陵区环保局,南充,106.0642,30.7636,四川
1910A,市环境监测站,南充,106.1087,30.8388,四川
1911A,丁字口,遵义,106.9222,27.6869,贵州
1912A,凤凰山,遵义,106.9242,27.7019,贵州
1913A,忠庄,遵义,106.8906,27.6486,贵州
1914A,舟水桥,遵义,106.9231,27.6506,贵州
1915A,干田坝,遵义,106.9178,27.7200,贵州
1916A,环境监测站,曲靖,103.7897,25.5035,云南
1917A,烟厂办公区,曲靖,103.8000,25.5364,云南
1918A,气象站(对照点),咸阳,108.7197,34.3956,陕西
1919A,中华小区,咸阳,108.6761,34.3181,陕西
1920A,师范学院,咸阳,108.7233,34.3617,陕西
1921A,中医学院,咸阳,108.7369,34.3164,陕西
1922A,党校,铜川,109.0656,35.0994,陕西
1923A,王益区政府,铜川,109.0697,35.0697,陕西
1924A,新区管委会,铜川,108.9344,34.9058,陕西
1925A,新区兰芝公司,铜川,108.9589,34.8731,陕西
1926A,枣园,延安,109.4131,36.6275,陕西
1927A,延大医附院,延安,109.4761,36.6028,陕西
1928A,市监测站,延安,109.4824,36.5767,陕西
1929A,百米大道,延安,109.5056,36.6106,陕西
1930A,庙沟村,宝鸡,107.1586,34.3708,陕西
1931A,竹园沟,宝鸡,107.0708,34.3017,陕西
1932A,三陆医院,宝鸡,107.1906,34.3672,陕西
1933A,监测站,宝鸡,107.1431,34.3547,陕西
1934A,技工学校,宝鸡,107.1186,34.3739,陕西
1935A,陈仓环保局,宝鸡,107.3906,34.3528,陕西
1936A,文理学院,宝鸡,107.2058,34.3497,陕西
1937A,三迪小学,宝鸡,107.2386,34.3622,陕西
1938A,农科所,渭南,109.5293,34.5101,陕西
1939A,日报社,渭南,109.5049,34.5004,陕西
1940A,体育馆,渭南,109.4636,34.4930,陕西
1941A,高新一小,渭南,109.4266,34.5021,陕西
1942A,市科委(停运180727),金昌,102.1878,38.5247,甘肃
1943A,新川苑,金昌,102.1725,38.5339,甘肃
1944A,公司二招,金昌,102.1708,38.5061,甘肃
1945A,气象局,嘉峪关,98.2908,39.7711,甘肃
1946A,酒钢耐材公司,嘉峪关,,,甘肃
1947A,沙湖旅游区,石嘴山,106.3394,38.8170,宁夏
1948A,大武口黄河东街,石嘴山,106.3717,39.0153,宁夏
1949A,惠农南大街,石嘴山,106.7704,39.2282,宁夏
1950A,红果子镇惠新街,石嘴山,106.7096,39.1292,宁夏
1951A,长征新村,克拉玛依,84.8861,45.6033,新疆
1952A,南林小区,克拉玛依,84.8897,45.5828,新疆
1953A,白碱滩区,克拉玛依,85.1186,45.6886,新疆
1954A,独山子区,克拉玛依,84.8983,44.3336,新疆
1955A,乌尔禾区商贸楼,克拉玛依,85.6931,46.0872,新疆
1956A,孔雀公园,库尔勒,86.1461,41.7511,新疆
1957A,棉纺厂,库尔勒,86.2022,41.7192,新疆
1958A,经济开发区,库尔勒,86.2381,41.7128,新疆
1959A,监测站,寿光,118.746,36.881,山东
1960A,世纪学校,寿光,118.780,36.864,山东
1961A,环境监测站,章丘,117.541,36.710,山东
1962A,明水开发区,章丘,117.541,36.710,山东
1963A,环保局子站,即墨,120.610,36.440,山东
1964A,开发区子站,即墨,120.470,36.390,山东
1965A,JN子站,胶南,120.005,35.878,山东
1966A,2号子站,胶南,120.039,35.872,山东
1967A,胶州环保局,胶州,120.008,36.283,山东
1968A,胶州一中,胶州,120.014,36.253,山东
1969A,环保局子站,莱西,120.537,36.865,山东
1970A,人民广场子站,莱西,120.515,36.885,山东
1971A,1号,平度,119.952,36.792,山东
1972A,2号,平度,119.976,36.799,山东
1973A,蓬莱环保局,蓬莱,120.747,37.825,山东
1974A,蓬莱博物馆,蓬莱,120.773,37.809,山东
1975A,招远环保局,招远,120.399,37.374,山东
1976A,招远教育局,招远,120.394,37.364,山东
1977A,莱州环保局,莱州,119.941,37.177,山东
1978A,莱州外经委,莱州,119.959,37.180,山东
1979A,荣成市环保局办公楼,荣成,122.471,37.154,山东
1980A,山东成山轮胎公司,荣成,122.410,37.161,山东
1981A,文登市环保局,文登,122.038,37.197,山东
1982A,文登市丝绸公司,文登,122.019,37.187,山东
1983A,乳山市环保局,乳山,121.531,36.913,山东
1984A,乳山市气象局,乳山,121.544,36.907,山东
1985A,吴江市环保局,吴江,120.636,31.155,江苏
1986A,教师进修学校,吴江,120.635,31.170,江苏
1987A,吴江开发区,吴江,120.658,31.172,江苏
1988A,昆山实验小学,昆山,120.953,31.388,江苏
1989A,震川中学,昆山,120.999,31.381,江苏
1990A,海虞子站,常熟,120.758,31.670,江苏
1991A,兴福子站,常熟,120.721,31.671,江苏
1992A,菱塘子站,常熟,120.734,31.656,江苏
1993A,张家港市监测站,张家港,120.526,31.874,江苏
1994A,城北小学,张家港,120.550,31.882,江苏
1995A,太仓市监测站,太仓,121.115,31.453,江苏
1996A,科教新城实小,太仓,121.140,31.422,江苏
1997A,消防指挥中心,句容,119.146,31.955,江苏
1998A,房家坝,句容,119.180,31.955,江苏
1999A,虹桥邮政,江阴,120.268,31.920,江苏
2000A,五星公园,江阴,120.237,31.909,江苏
2001A,第二实验小学,江阴,120.302,31.920,江苏
2002A,宜兴市环保局,宜兴,119.818,31.354,江苏
2003A,宜园,宜兴,119.794,31.371,江苏
2004A,金坛市环境监测站,金坛,119.579,31.751,江苏
2005A,金坛市自来水公司,金坛,119.579,31.737,江苏
2006A,溧阳市东门子站,溧阳,119.460,31.400,江苏
2007A,燕山子站,溧阳,119.438,31.317,江苏
2008A,海门市监测站,海门,121.173,31.896,江苏
2009A,社会福利院,海门,121.1518,31.89708,江苏
2010A,市政府,临安,119.7183,30.2366,浙江
2011A,四中,临安,119.6942,30.2311,浙江
2012A,监测站,富阳,119.954,30.054,浙江
2013A,富春二小,富阳,119.946,30.049,浙江
2014A,江东,义乌,120.091,29.305,浙江
2015A,北苑,义乌,120.040,29.334,浙江
2016A,图书馆,诸暨,120.251,29.719,浙江
2017A,富林印务,诸暨,120.209,29.732,浙江
2018A,抱龙山庄,瓦房店,121.989,39.625,辽宁
2019A,东山公园,瓦房店,122.011,39.617,辽宁
2031A,云田中学,株洲,113.1817,27.9958,湖南
2054A,平桥分局,信阳,114.1044,32.1078,河南
2064A,南湾水厂,信阳,114.0122,32.1403,河南
2065A,市酿酒公司,信阳,114.0681,32.1342,河南
2066A,审计局,信阳,114.0614,32.1383,河南
2067A,市环境监测站,周口,114.6613,33.6128,河南
2068A,周口师范,周口,114.6758,33.6347,河南
2069A,市运管处,周口,114.6546,33.5979,河南
2070A,川汇区环保局,周口,114.6369,33.6406,河南
2073A,蓝田(停运160601),漳州,117.7206,24.5086,福建
2074A,漳州三中(20190503停运),漳州,117.6569,24.5157,福建
2075A,九湖(对照点),漳州,117.6336,24.4674,福建
2160A,自来水公司,晋城,112.85,35.5051,山西
2161A,白云商贸,晋城,112.835,35.4934,山西
2162A,市环保局,晋城,112.8564,35.4883,山西
2163A,技术学院,晋城,112.8664,35.4894,山西
2164A,泽州一中,晋城,112.8252,35.4813,山西
2165A,白马寺,晋城,112.8453,35.546,山西
2166A,平朔,朔州,112.44,39.3514,山西
2167A,朔唯,朔州,112.4549,39.3606,山西
2168A,区政府,朔州,112.4254,39.3179,山西
2169A,市环保局,朔州,112.4078,39.3265,山西
2170A,市二中,朔州,112.4279,39.3673,山西
2171A,锦纶小区,晋中,112.7549,37.7019,山西
2172A,榆次液压件厂,晋中,,,山西
2173A,南都小区,晋中,112.7306,37.7111,山西
2174A,榆次区政府,晋中,112.7105,37.7087,山西
2175A,运城中学,运城,110.9956,35.0147,山西
2176A,禹都开发区,运城,111.0233,35.0611,山西
2177A,运城学院,运城,,,山西
2178A,地区技校,运城,110.9678,35.0308,山西
2179A,空港新区,运城,111.0414,35.1147,山西
2180A,机引(20190313停运),忻州,112.7356,38.4186,山西
2181A,开发区,忻州,112.7383,38.4519,山西
2182A,会展中心,忻州,112.7003,38.4928,山西
2183A,环保局,吕梁,111.1406,37.5211,山西
2184A,豆制品厂,吕梁,,,山西
2185A,自来水公司,吕梁,111.1297,37.5136,山西
2186A,聚英学校,乌海,106.8219,39.6719,内蒙古
2187A,市林业局,乌海,106.8089,39.6969,内蒙古
2188A,中海勃湾学校,乌海,106.7931,39.6572,内蒙古
2189A,通辽宾馆,通辽,122.2603,43.6267,内蒙古
2190A,胶建铝业,通辽,122.3039,43.6156,内蒙古
2191A,艺术职业学校,通辽,122.2532,43.6801,内蒙古
2192A,区环保局,呼伦贝尔,119.7594,49.2261,内蒙古
2193A,市艺校,呼伦贝尔,119.7283,49.2014,内蒙古
2194A,秋林养殖基地,巴彦淖尔,107.5936,40.916,内蒙古
2195A,附中,巴彦淖尔,107.4211,40.7608,内蒙古
2196A,市环保大楼,巴彦淖尔,107.3715,40.7378,内蒙古
2197A,集宁新区,乌兰察布,113.1306,40.9923,内蒙古
2198A,集宁旧区西,乌兰察布,113.0974,41.038,内蒙古
2199A,盟监测站,兴安盟,122.062,46.0872,内蒙古
2200A,胜华新制药厂,兴安盟,122.0506,46.0703,内蒙古
2201A,科右前旗环保局,兴安盟,121.9462,46.0756,内蒙古
2202A,市环保监测站,锡林郭勒盟,116.1042,43.9317,内蒙古
2203A,市政府,锡林郭勒盟,116.0781,43.9311,内蒙古
2204A,体育场,阿拉善盟,105.6775,38.8343,内蒙古
2205A,盟环保楼,阿拉善盟,105.6975,38.843,内蒙古
2206A,环保局新楼,阿拉善盟,105.724,38.8516,内蒙古
2207A,工业园区,阜新,121.6178,41.9967,辽宁
2208A,长青街,阜新,121.6561,42.0186,辽宁
2209A,农业园区,阜新,121.6972,42.0503,辽宁
2210A,东苑,阜新,121.6722,42.0228,辽宁
2211A,玉龙新城,阜新,121.6592,42.0486,辽宁
2212A,宏伟区,辽阳,123.2,41.1953,辽宁
2213A,新华园,辽阳,123.15,41.2553,辽宁
2214A,滨河路,辽阳,123.1761,41.2736,辽宁
2215A,铁西工业园,辽阳,123.1417,41.2894,辽宁
2216A,汇工街西,铁岭,123.8139,42.3022,辽宁
2217A,水上乐园,铁岭,123.8469,42.2920,辽宁
2218A,银州路东段,铁岭,123.8489,42.2864,辽宁
2219A,金沙江路北,铁岭,123.7153,42.2217,辽宁
2220A,西梁,朝阳,120.4439,41.5931,辽宁
2221A,河畔小区,朝阳,120.4486,41.5672,辽宁
2222A,八里堡,朝阳,120.4247,41.5647,辽宁
2223A,农业园区,朝阳,120.3939,41.615,辽宁
2224A,监测站,四平,124.3419,43.1747,吉林
